t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
4.016,-0.9804328767802197,-0.7967113534194019,85.11067678285647,4,-0.975,-0.7000000000000002,0.07493361151763103,0.08765269513396334,64,64,72,69,72,66,67,64
4.024,-0.9803842143275078,-0.7961340708069875,85.25252791082791,4,-0.975,-0.7000000000000002,0.07612347164920659,0.08073036948922785,62,68,72,67,66,65,67,69
4.032,-0.9803309389871236,-0.7954925792418778,85.25252791082795,4,-0.975,-0.7000000000000002,0.07603008890997963,0.08127364824390848,67,59,70,71,67,65,65,69
4.04,-0.9802837059006174,-0.79491517792179,85.39437903879934,4,-0.975,-0.7000000000000002,0.07722551245870757,0.07431895595018267,67,70,66,65,66,62,62,69
4.048,-0.9802320189069633,-0.7942735564253554,85.39437903879934,4,-0.975,-0.7000000000000002,0.07713843116204126,0.07482557439809367,62,61,63,65,63,68,68,67
4.056,-0.9801803319133092,-0.7936319349289207,85.39437903879934,4,-0.975,-0.7000000000000002,0.07705015473409639,0.07533914583793955,66,67,60,66,69,65,67,61
4.064,-0.9801389823183859,-0.793118637731773,85.39437903879937,4,-0.975,-0.7000000000000002,0.07697865647591026,0.07575510584286915,64,63,68,62,68,66,73,70
4.072,-0.9800872953247318,-0.7924770162353384,85.39437903879937,4,-0.975,-0.7000000000000002,0.07688816593343697,0.07628155847889406,71,74,67,74,67,72,71,69
4.08,-0.9800356083310777,-0.7918353947389037,85.39437903879934,4,-0.975,-0.7000000000000002,0.07679640915606191,0.07681537777096548,69,66,66,67,66,69,64,60
4.088,-0.9799898049002892,-0.7912578782502837,85.53623016677076,4,-0.975,-0.7000000000000002,0.07799342844699517,0.06985140182540772,62,64,71,65,68,68,68,64
4.096,-0.9799397065701769,-0.7906161307552984,85.53623016677076,4,-0.975,-0.7000000000000002,0.07790827280072432,0.07034681729343761,64,65,66,65,71,70,66,63
4.104,-0.9798896082400647,-0.789974383260313,85.5362301667708,4,-0.975,-0.7000000000000002,0.07782190083317722,0.07084930903181186,66,73,66,73,67,69,68,62
4.112,-0.9798452347457428,-0.7893967551430077,85.6780812947422,5,-0.975,-0.7000000000000002,0.07902389407359074,0.06385639582116798,72,67,68,63,62,68,66,67
4.12,-0.9797967253862465,-0.7887548855830181,85.6780812947422,5,-0.975,-0.7000000000000002,0.07894441122690492,0.06431880827900982,66,73,72,70,69,65,67,66
